CSDUID,Unnamed: 0,Geography,Unnamed: 2,graph2_cwbwiz,graph2_education,graph2_housing,graph2_income,graph2_jobs,graph_cwb,graph_education,graph_housing,graph_income,graph_jobs,year,lat,lon,pop,log_std
1301001,0,Saint Martins,PAR,3,3,4,2,2,3,3,4,2,2,2001,45.456241668823054,-65.43996181176757,1145.0,29.661943843989736
1301002,1,St. Martins,VL,3,2,3,3,3,3,1,3,4,3,2001,45.350563526375176,-65.548118850501,314.0,15.0
1301004,2,Simonds,PAR,2,3,2,1,1,1,2,2,1,1,2001,45.31442951019908,-65.80318291891254,3828.0,50.297302022673016
1301006,3,Saint John,C,2,2,2,4,2,2,1,2,4,2,2001,45.27495240805608,-66.06062823612574,70063.0,100.0
1301016,4,Musquash,PAR,2,2,2,2,2,2,2,2,1,2,2001,45.18348050938439,-66.35137745887786,1200.0,30.464095715539763
1302004,5,Campobello,PAR,3,3,3,3,4,4,3,3,3,4,2001,44.89066099073523,-66.9318776526812,925.0,26.013961833145625
1302006,6,West Isles,PAR,2,2,1,2,2,1,2,1,1,3,2001,44.986058873819,-66.96984153526738,731.0,21.98959852908734
1302008,7,Lepreau,PAR,1,2,1,1,2,1,1,1,1,2,2001,45.217290064029385,-66.52475314655457,752.0,22.47384256361725
1302011,8,Pennfield,PAR,2,3,3,2,2,2,3,3,2,1,2001,45.192568268138054,-66.68584933214032,2218.0,40.966688999891886
1302012,9,Blacks Harbour,VL,3,3,3,3,3,4,3,3,4,3,2001,45.05824992428435,-66.78652266827775,982.0,27.036337845511447
1302016,10,Saint George,PAR,3,3,3,2,3,3,3,3,2,4,2001,45.29177560379431,-66.85030127784265,2472.0,42.82040468269334
1302018,11,St. George,T,2,1,2,2,2,1,1,2,2,2,2001,45.13003907152624,-66.82997358001775,1543.0,34.76247271446576
1302021,12,Saint Patrick,PAR,2,2,2,1,2,1,1,2,1,2,2001,45.2382948027306,-66.9930269040354,647.0,19.902581617018946
1302024,13,Saint Andrews,PAR,2,2,2,1,3,2,2,2,1,3,2001,45.130741135751016,-67.0655673286688,593.0,18.41252096505654
1302026,14,Saint Andrew,T,1,1,1,1,3,1,1,1,1,3,2001,45.08262351771261,-67.06119286945028,1889.0,38.22157824350678
1302028,15,Saint Croix,PAR,2,3,2,2,2,2,4,2,2,1,2001,45.20558611668507,-67.11167293533096,616.0,19.06311644314319
1302031,16,Dufferin,PAR,2,2,2,1,2,1,1,2,1,2,2001,45.179287047965566,-67.21116549533482,573.0,17.825935702677544
1302034,17,Saint Stephen,PAR,2,2,4,2,2,2,2,4,2,1,2001,45.20778182848487,-67.32361352371092,1986.0,39.07772431582356
1302037,18,St. Stephen,T,2,2,3,3,3,2,1,3,3,3,2001,45.1860611508988,-67.29339642809134,4817.0,54.22640911697587
1302039,19,Saint James,PAR,3,4,1,3,2,3,4,1,3,2,2001,45.38227309066372,-67.34252859179921,1241.0,31.03849518235257
1302042,20,Saint David,PAR,2,2,2,2,2,2,2,3,2,2,2001,45.29190059223157,-67.19823161013599,1605.0,35.43602332430253
1302044,21,Dumbarton,PAR,2,2,1,3,2,1,2,1,3,1,2001,45.412113206699374,-67.04920090593149,368.0,15.0
1302052,22,Grand Manan,VL,2,3,2,1,2,2,3,2,1,2,2001,44.699869875349684,-66.81087397167346,2377.0,42.15039033788562
1303001,23,Blissville,PAR,2,3,1,2,2,1,3,1,1,1,2001,45.609428248990305,-66.55865225702719,926.0,26.032435398800974
1303004,24,Gladstone,PAR,2,3,4,2,2,2,3,4,1,1,2001,45.61985730822487,-66.74045957659746,485.0,15.0
1303005,25,Tracy,VL,3,3,3,2,2,3,4,3,2,2,2001,45.67531729502585,-66.68393912914466,611.0,18.9237735092585
1303006,26,Fredericton Junction,VL,3,3,3,2,3,3,3,3,2,3,2001,45.659819909363726,-66.60546408814618,752.0,22.47384256361725
1303008,27,Lincoln,PAR,1,2,3,1,1,1,1,3,1,1,2001,45.813290335938404,-66.59629280188567,6458.0,59.23879137554214
1303011,28,Burton,PAR,1,2,2,1,2,1,2,1,1,1,2001,45.80109830531484,-66.40650652051646,5421.0,56.246093633951965
1303012,29,Oromocto,T,1,1,3,2,1,1,1,3,3,1,2001,45.83777490908527,-66.48492952730106,8932.0,64.78379362409672
1303014,30,Sheffield,PAR,3,3,2,3,3,3,3,2,3,3,2001,45.98897117916318,-66.22716058729821,853.0,24.62849732527203
1303016,31,Maugerville,PAR,2,2,4,1,1,1,2,4,1,1,2001,46.12987876424817,-66.28587931087682,1776.0,37.166950375619535
1303018,32,Northfield,PAR,3,4,2,3,2,3,4,2,4,2,2001,46.225893517902655,-66.01803458225189,643.0,19.796551613008763
1304001,33,Petersville,PAR,3,3,3,2,3,3,3,3,2,3,2001,45.52245534532299,-66.36629898460077,723.0,21.801455960936114
1304004,34,Gagetown,PAR,4,4,4,4,3,4,4,4,4,3,2001,45.74062172647206,-66.26694846731678,316.0,15.0
1304005,35,Gagetown,VL,1,1,2,1,2,1,1,1,1,2,2001,45.77533052587116,-66.16100849242933,698.0,21.199800518473445
